Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
64150,383.73,249.89,0.6977,66317,0.6991,770.33,Kecimen
75847,371.33,284.52,0.7397,78630,0.643,1293.13,Besni
58919,340.04,199.71,0.7234,60209,0.7516,1125.84,Kecimen
99330,435.09,283.85,0.794,101755,0.7704,1078.79,Besni
91562,438.99,266.5,0.7817,93634,0.6907,1068.58,Besni
51009,283.25,215.43,0.699,55039,0.6821,1069.48,Kecimen
115589,435.66,261.0,0.7419,121294,0.6795,1551.47,Besni
52719,213.96,226.03,0.6262,54526,0.7318,1102.5,Kecimen
116611,433.34,252.15,0.7481,120415,0.7618,1139.66,Besni
38278,318.42,221.02,0.66,39421,0.62,908.99,Kecimen
57374,380.46,267.22,0.799,59914,0.6105,1251.13,Besni
76501,397.4,261.55,0.7165,80220,0.6854,1240.14,Besni
79356,469.81,248.22,0.8198,84241,0.6201,1490.1,Besni
107232,371.6,312.82,0.7117,111478,0.6341,1188.84,Besni
58281,294.49,228.02,0.7314,60673,0.6679,1002.34,Kecimen
61305,254.9,206.43,0.8434,63254,0.6719,836.24,Kecimen
46742,212.12,222.36,0.6601,49909,0.6987,1044.13,Kecimen
147368,461.97,317.34,0.7898,157455,0.5954,1433.89,Besni
56253,441.01,249.96,0.8096,58090,0.5763,1567.97,Besni
109568,449.82,282.18,0.7884,116122,0.6201,1126.51,Besni
69342,297.17,193.05,0.8024,72734,0.7236,1128.18,Kecimen
99824,436.04,195.19,0.8447,105858,0.7094,1052.68,Besni
66193,317.19,237.07,0.737,67993,0.638,879.99,Kecimen
62550,389.43,289.64,0.8972,65397,0.7341,1062.39,Besni
43833,390.09,197.37,0.7899,47338,0.7619,1217.99,Kecimen
101081,304.19,248.0,0.8013,106423,0.7539,1230.2,Besni
39334,422.93,253.25,0.7064,40122,0.6053,1102.31,Kecimen
86687,445.68,296.24,0.7736,93122,0.6795,1289.71,Besni
63211,309.62,241.83,0.8197,65868,0.7594,806.16,Kecimen
69788,423.0,238.74,0.6844,71187,0.7609,1146.67,Besni
98719,401.72,214.24,0.7533,101127,0.7991,1092.35,Besni
112118,371.49,232.73,0.7945,116550,0.732,1109.13,Besni
105194,492.55,243.51,0.7912,110665,0.619,1327.01,Besni
103908,400.35,237.11,0.7725,107586,0.7286,1557.99,Besni
126361,361.31,266.71,0.7234,134217,0.6293,1248.35,Besni
94156,502.68,299.48,0.7674,97606,0.6546,1378.99,Besni
128703,465.67,212.49,0.8065,133603,0.6715,1316.01,Besni
64441,343.08,273.93,0.6883,66004,0.6871,928.17,Kecimen
77453,378.29,297.52,0.9075,82080,0.6644,1028.04,Besni
77371,290.91,221.31,0.793,80786,0.641,1219.63,Kecimen
65355,340.71,172.21,0.6563,67995,0.752,1364.01,Kecimen
68563,297.05,214.28,0.7187,71819,0.6196,1011.39,Kecimen
65760,352.82,224.82,0.6075,68548,0.7053,847.5,Kecimen
88486,351.41,252.7,0.8007,92022,0.6504,1494.65,Besni
61376,330.39,172.48,0.7067,63658,0.6158,1104.33,Kecimen
41283,364.13,293.19,0.9116,43068,0.6709,1049.18,Kecimen
95854,462.48,248.89,0.7715,99563,0.7219,1219.71,Besni
75876,319.34,183.71,0.6942,79294,0.6067,1014.3,Kecimen
79607,300.89,206.23,0.8735,83198,0.6804,860.57,Kecimen
135633,370.5,256.03,0.6889,143547,0.6743,1096.89,Besni
91543,427.97,221.79,0.8089,94344,0.6535,1424.66,Besni
66025,327.86,192.38,0.7708,67759,0.757,999.02,Kecimen
80343,350.22,263.2,0.7757,82200,0.6169,1063.24,Kecimen
81912,348.34,232.26,0.7849,84533,0.7263,1418.96,Besni
52604,268.82,179.98,0.8047,55621,0.715,811.22,Kecimen
120464,435.62,206.43,0.791,125527,0.6681,1115.34,Besni
92638,447.42,261.13,0.7363,99794,0.6526,1202.88,Besni
110834,454.35,187.28,0.7361,116459,0.5956,1200.54,Besni
69508,348.52,248.92,0.7616,73027,0.838,1128.94,Kecimen
41086,299.09,190.26,0.709,43693,0.7413,1085.59,Kecimen
33554,264.69,227.3,0.6806,35793,0.7214,774.54,Kecimen
82439,535.4,251.38,0.6381,88146,0.7604,1362.78,Besni
56967,348.01,272.49,0.7884,61415,0.7302,1138.64,Kecimen
136400,392.35,196.86,0.7818,139579,0.7208,1070.32,Besni
66931,312.64,211.58,0.7848,70951,0.6842,1072.4,Kecimen
79964,390.97,255.62,0.8391,82178,0.6671,1214.76,Besni
66191,325.17,186.41,0.7127,70542,0.7045,1040.72,Kecimen
82839,429.7,287.43,0.8072,87643,0.7507,1237.78,Besni
44134,328.14,154.04,0.6837,45459,0.7144,852.83,Kecimen
87784,281.78,276.43,0.6907,91504,0.7117,898.37,Kecimen
107529,427.25,239.53,0.8219,110449,0.6265,1287.89,Besni
53249,376.82,236.1,0.7507,55805,0.6522,901.32,Kecimen
91453,379.23,315.95,0.7103,96175,0.6155,1359.57,Besni
42251,421.08,265.92,0.6356,44649,0.6658,1101.87,Kecimen
58883,303.16,203.94,0.7604,62881,0.7071,1061.3,Kecimen
55514,321.92,147.28,0.6538,59080,0.6895,941.94,Kecimen
36988,381.9,261.71,0.7245,38746,0.7441,1089.58,Kecimen
72381,422.4,198.45,0.5927,74899,0.702,861.19,Kecimen
82168,317.36,190.99,0.7716,88235,0.6383,772.32,Kecimen
68927,297.5,229.29,0.698,70535,0.7392,782.71,Kecimen
118726,421.97,262.95,0.7381,123429,0.6588,1224.48,Besni
69484,397.59,226.06,0.8112,72578,0.6839,1364.96,Besni
67790,312.53,236.75,0.7864,69189,0.6444,1097.73,Kecimen
101670,493.33,248.79,0.785,105336,0.624,853.78,Besni
75339,390.91,272.45,0.735,79026,0.6496,1285.71,Besni
56487,288.29,221.39,0.5645,59733,0.6208,1054.54,Kecimen
75464,293.97,217.54,0.7798,81324,0.75,1299.35,Kecimen
70705,420.39,260.88,0.7705,75194,0.7254,1452.49,Besni
94046,371.72,272.16,0.8428,97315,0.6178,1445.16,Besni
91385,358.9,232.41,0.6647,94377,0.6869,992.47,Kecimen
60188,355.59,192.88,0.7314,64932,0.6371,1012.3,Kecimen
63915,311.88,239.23,0.7552,66001,0.7799,870.58,Kecimen
40432,375.29,248.49,0.7328,42242,0.7809,1050.08,Kecimen
66064,403.04,290.09,0.7908,67476,0.6689,1239.73,Besni
88779,408.02,246.53,0.8274,94540,0.6374,1190.34,Besni
107859,413.81,299.88,0.7691,111379,0.6896,1311.53,Besni
92781,404.48,281.2,0.8151,98106,0.7666,1291.69,Besni
61663,310.04,174.3,0.7074,65541,0.7221,837.13,Kecimen
47872,293.93,219.89,0.71,51625,0.6987,1133.56,Kecimen
53048,398.59,210.77,0.7191,56517,0.6758,1065.51,Kecimen
74626,342.39,195.89,0.6493,76945,0.6823,1164.47,Kecimen
41995,343.72,214.81,0.5782,44949,0.6589,811.52,Kecimen
77445,401.47,245.42,0.6791,82660,0.6842,1028.16,Besni
79164,339.73,198.94,0.7301,81520,0.655,604.64,Kecimen
98508,447.54,232.74,0.822,101165,0.6573,1269.96,Besni
77142,245.17,210.39,0.6482,79659,0.6916,832.52,Kecimen
56878,246.37,223.16,0.7215,60425,0.7163,893.56,Kecimen
70229,318.6,199.8,0.66,74810,0.6886,850.63,Kecimen
55624,364.78,218.03,0.8296,58988,0.7009,1069.39,Kecimen
73969,300.51,253.52,0.6746,77826,0.6665,1466.49,Kecimen
61735,333.38,210.84,0.7094,65502,0.6967,815.12,Kecimen
99024,530.63,268.11,0.8128,103409,0.6729,1213.38,Besni
123914,349.24,270.76,0.8178,130387,0.7426,1265.66,Besni
61465,323.29,197.93,0.7626,63486,0.6883,1068.59,Kecimen
65356,253.54,232.76,0.7689,66780,0.7808,989.26,Kecimen
108758,412.41,260.15,0.726,117206,0.6992,1180.8,Besni
48489,378.14,224.25,0.7852,49759,0.8045,870.84,Kecimen
91045,402.68,221.78,0.7377,95892,0.62,1111.93,Besni
45526,299.3,191.82,0.6833,48388,0.771,1052.45,Kecimen
119782,396.85,264.42,0.7257,127130,0.6632,1532.27,Besni
100312,388.36,249.3,0.7525,104181,0.569,930.69,Besni
97233,522.1,160.09,0.7329,101800,0.6823,1438.8,Besni
57723,330.24,190.53,0.6627,59852,0.6746,1146.37,Kecimen
112077,331.45,211.93,0.8211,115314,0.7145,1073.61,Besni
72067,408.63,273.77,0.7203,77378,0.7017,1306.07,Besni
55670,300.85,232.57,0.834,59784,0.6841,669.17,Kecimen
100119,479.09,257.62,0.8596,107465,0.6738,1104.04,Besni
131059,403.9,285.06,0.7002,136474,0.6233,874.56,Besni
68156,316.22,269.68,0.8231,71894,0.6875,1007.33,Besni
77691,326.66,222.45,0.6644,80919,0.7095,836.56,Kecimen
66764,431.64,260.79,0.8394,68888,0.6541,1241.67,Besni
53981,260.58,177.59,0.7146,56563,0.6492,1100.25,Kecimen
104121,449.31,195.53,0.7759,109463,0.6513,1150.43,Besni
88110,463.97,190.86,0.8076,94862,0.6515,943.66,Besni
67716,345.32,234.24,0.7989,72354,0.7,1082.99,Kecimen
67656,358.05,220.68,0.7519,72506,0.7038,1464.8,Besni
51159,295.01,201.96,0.7152,55221,0.7311,967.45,Kecimen
71511,278.59,242.39,0.7435,75459,0.7254,936.89,Kecimen
83342,376.16,326.17,0.7769,85164,0.6387,1472.07,Besni
49284,395.07,199.85,0.6928,51716,0.7687,1201.07,Kecimen
82130,299.36,245.01,0.7494,87384,0.7831,1092.96,Kecimen
33618,367.54,238.0,0.6785,34525,0.7504,960.48,Kecimen
53690,313.77,247.74,0.8221,55089,0.6833,1092.55,Kecimen
42855,347.85,230.39,0.7936,44279,0.6628,896.42,Kecimen
103904,461.01,267.27,0.7508,106221,0.6,1159.96,Besni
99469,481.98,259.22,0.8241,102023,0.7291,1010.47,Besni
111278,479.59,296.27,0.8191,117027,0.6263,1253.62,Besni
47404,266.22,224.01,0.7066,50680,0.6905,1044.49,Kecimen
47565,283.07,223.76,0.7548,51186,0.7188,762.1,Kecimen
83267,331.43,188.05,0.8503,89597,0.6782,1127.23,Kecimen
71508,402.53,265.1,0.8475,76862,0.6497,1136.93,Besni
58047,392.5,284.35,0.7528,62054,0.6904,964.81,Kecimen
69715,280.57,220.86,0.7525,74610,0.6646,782.32,Kecimen
37209,257.73,269.26,0.691,38340,0.6327,837.23,Kecimen
74884,473.72,284.37,0.8009,78058,0.6612,1195.35,Besni
52603,355.04,282.17,0.8131,56640,0.6388,1200.53,Besni
84486,324.57,261.53,0.7379,86511,0.5781,1012.88,Kecimen
42130,248.85,236.31,0.7253,44193,0.7528,1121.71,Kecimen
89248,486.57,210.43,0.7943,91510,0.5704,1138.44,Besni
87769,489.67,258.34,0.8043,94453,0.65,1178.02,Besni
79971,458.2,189.74,0.8182,83334,0.6858,1246.38,Besni
61137,335.21,217.35,0.6658,63356,0.7336,992.03,Kecimen
55958,300.42,213.6,0.6297,59299,0.6015,950.58,Kecimen
61759,425.3,221.22,0.7023,63336,0.7821,1080.19,Kecimen
84429,343.36,201.6,0.7014,88160,0.7007,1070.39,Kecimen
109030,385.22,278.09,0.801,115707,0.6802,1493.18,Besni
61804,297.91,252.58,0.8167,64452,0.6843,1025.78,Kecimen
91023,448.53,272.2,0.7874,96601,0.7077,1005.93,Besni
47591,284.22,218.33,0.6615,49475,0.7279,1191.23,Kecimen
52399,364.3,223.88,0.8092,55474,0.6776,1210.06,Besni
128824,412.09,287.78,0.7645,132272,0.6698,976.59,Besni
102929,414.68,235.08,0.7747,106464,0.6945,979.48,Besni
74310,318.69,246.1,0.5745,76214,0.6615,1072.34,Kecimen
64233,427.15,187.78,0.6755,68397,0.689,1021.74,Besni
30186,283.83,242.81,0.7034,32243,0.6597,1127.37,Kecimen
67829,302.23,264.3,0.7814,70462,0.7563,1031.09,Kecimen
71619,387.86,210.26,0.7049,73590,0.7097,801.63,Kecimen
70953,427.47,257.81,0.776,73512,0.7166,1425.69,Besni
87446,503.45,251.28,0.7102,94424,0.6567,1260.51,Besni
28141,279.83,241.24,0.7188,29142,0.691,1029.59,Kecimen
98392,366.13,286.29,0.814,102699,0.6738,1148.96,Besni
67103,410.83,239.42,0.696,70957,0.6947,992.7,Kecimen
94680,328.42,279.88,0.7851,97792,0.6459,1335.61,Besni
116572,352.52,293.67,0.8129,123586,0.6774,1213.05,Besni
86114,431.45,243.17,0.8225,90317,0.7331,1495.38,Besni
113455,313.37,195.73,0.7544,122500,0.6129,1296.58,Besni
94579,466.66,241.98,0.8011,96882,0.7361,855.01,Besni
54122,377.18,286.58,0.8005,56221,0.6754,1436.95,Besni
69931,280.87,261.76,0.6692,74888,0.7301,861.04,Kecimen
71089,428.92,205.2,0.7783,72709,0.6239,1334.42,Besni
98328,420.88,279.54,0.7721,104545,0.706,1374.21,Besni
73493,327.47,219.41,0.7088,76915,0.7335,793.36,Kecimen
58843,395.28,222.3,0.7064,61748,0.7328,965.59,Kecimen
68787,339.42,264.74,0.7793,74004,0.7149,1141.31,Besni
101060,523.4,310.66,0.7378,104256,0.7016,1289.2,Besni
98516,365.13,302.71,0.8123,105036,0.6688,1134.6,Besni
64147,426.99,265.41,0.8315,67903,0.6543,938.55,Besni
61456,353.43,226.25,0.7598,66281,0.7273,1104.82,Kecimen
64897,413.5,261.66,0.7771,67274,0.6531,1210.91,Besni
47142,381.18,209.52,0.6139,48872,0.631,847.05,Kecimen
88382,431.21,240.89,0.7708,95375,0.8094,1559.99,Besni
129831,419.65,277.31,0.8136,132726,0.6712,1251.33,Besni
50323,350.06,177.08,0.7505,53161,0.6795,834.98,Kecimen
61028,303.39,169.94,0.6976,64099,0.7248,856.43,Kecimen
108007,428.02,252.99,0.7531,114105,0.6433,1063.46,Besni
114379,379.38,240.81,0.7664,118272,0.7605,1105.73,Besni
83249,329.93,267.22,0.776,87350,0.6249,886.23,Kecimen
74450,417.83,209.13,0.715,77966,0.7278,1152.65,Kecimen
50990,443.16,266.97,0.6837,53401,0.6951,1099.95,Kecimen
101447,426.15,237.95,0.7133,108104,0.6223,1087.11,Besni
41313,259.87,221.56,0.6926,42354,0.7354,1103.46,Kecimen
76481,324.88,199.21,0.7129,80312,0.6919,1012.85,Kecimen
101481,361.39,277.66,0.745,105911,0.7027,1320.4,Besni
102064,473.26,257.89,0.7692,105408,0.7165,1376.57,Besni
75756,470.36,358.51,0.8338,77551,0.6133,1381.95,Besni
63411,322.86,270.52,0.6869,64896,0.7154,723.07,Kecimen
65117,373.82,181.51,0.6624,68938,0.7097,993.48,Kecimen
83688,315.72,179.2,0.6872,89702,0.7134,1133.03,Kecimen
104246,410.87,309.72,0.8773,107127,0.7142,1136.02,Besni
62750,299.09,231.8,0.7685,66143,0.7092,1104.69,Kecimen
83469,342.82,200.42,0.6696,86196,0.739,1251.17,Kecimen
105586,479.59,234.27,0.7517,111925,0.7444,1163.18,Besni
46541,266.59,178.91,0.7185,49401,0.701,1058.37,Kecimen
106310,446.88,228.48,0.6711,111391,0.684,1180.9,Besni
71727,299.6,246.51,0.8404,76032,0.6815,782.55,Kecimen
92159,271.11,212.68,0.7457,95884,0.753,917.57,Kecimen
94719,369.84,253.17,0.7677,99273,0.703,1160.95,Kecimen
59299,379.45,303.22,0.7985,60962,0.6471,1386.02,Besni
73358,409.22,273.42,0.7992,77560,0.7,983.86,Besni
44065,345.31,231.98,0.8236,45327,0.6767,1051.57,Kecimen
98566,359.14,267.33,0.8133,104487,0.7059,1211.5,Besni
71874,310.1,215.59,0.8113,77126,0.7557,1149.53,Kecimen
70710,253.81,232.9,0.6243,73336,0.7257,944.57,Kecimen
62570,379.2,246.17,0.6793,66071,0.6059,1146.83,Kecimen
99118,425.57,269.77,0.8329,104651,0.6285,1155.76,Besni
63863,335.78,251.49,0.7974,66206,0.6403,733.56,Kecimen
80529,391.78,160.74,0.6408,84855,0.7661,705.61,Kecimen
47411,296.3,230.28,0.6347,49748,0.7696,1091.01,Kecimen
123344,438.67,314.56,0.7352,129359,0.6804,1446.23,Besni
64663,357.53,229.93,0.741,67290,0.6912,718.52,Kecimen
84337,382.16,210.81,0.8725,90453,0.7463,1270.54,Besni
51834,385.8,255.85,0.8083,55372,0.7084,836.91,Kecimen
117108,449.14,277.2,0.8431,124569,0.685,1139.91,Besni
70763,361.77,264.72,0.7656,72504,0.7446,1109.78,Kecimen
59166,364.35,225.11,0.8004,62521,0.7343,1091.87,Kecimen
54223,396.38,230.56,0.7522,57583,0.7888,850.29,Kecimen
43130,259.37,244.53,0.7645,44987,0.7302,865.74,Kecimen
88041,375.48,266.98,0.7311,92600,0.6672,1258.61,Besni
108275,412.48,205.02,0.7684,116395,0.7018,1592.05,Besni
56211,318.49,250.68,0.7092,60468,0.7133,981.18,Kecimen
94332,482.64,225.51,0.7823,101571,0.6924,1218.93,Besni
114992,412.49,322.96,0.871,120722,0.658,1246.44,Besni
69704,461.16,194.92,0.7564,73874,0.6098,1384.46,Besni
44962,307.63,183.71,0.7055,47389,0.6692,972.32,Kecimen
46379,298.78,206.61,0.6934,48258,0.6894,924.37,Kecimen
31411,500.74,274.15,0.7669,33254,0.6391,1188.22,Besni
63674,330.86,202.55,0.7723,66830,0.7087,993.58,Kecimen
52225,271.56,218.57,0.685,55220,0.6704,946.45,Kecimen
57215,317.99,259.87,0.7534,61522,0.7405,1269.28,Kecimen
77447,266.07,223.13,0.7752,80599,0.7044,1055.12,Kecimen
30718,338.9,248.22,0.6958,31843,0.639,955.74,Kecimen
58368,377.88,236.16,0.5896,62340,0.7249,969.78,Kecimen
82866,356.05,293.0,0.804,88210,0.6939,1074.25,Besni
63629,292.01,227.48,0.7272,67602,0.7806,1185.37,Kecimen
43936,313.68,210.35,0.7394,45391,0.6687,996.47,Kecimen
74256,359.37,186.9,0.777,78824,0.6785,845.12,Kecimen
59085,403.67,307.45,0.7512,62767,0.7222,1434.15,Besni
35809,305.14,185.71,0.6386,36857,0.6346,792.84,Kecimen
88067,479.74,218.38,0.7974,91438,0.6653,1147.34,Besni
111174,472.87,270.91,0.6714,116047,0.6394,1624.88,Besni
97352,412.98,294.66,0.7254,100029,0.6192,1162.95,Besni
106935,473.42,267.17,0.7998,110910,0.7094,1124.11,Besni
69576,374.09,252.25,0.7511,72325,0.7415,977.74,Besni
98826,391.41,273.59,0.7661,105908,0.5763,1226.86,Besni
60195,280.42,173.3,0.8331,62743,0.7562,1085.81,Kecimen
104712,479.64,317.04,0.8196,112547,0.6838,895.88,Besni
65498,313.32,143.38,0.7009,69394,0.6551,1162.27,Kecimen
90911,312.92,221.7,0.7226,95323,0.6821,895.48,Kecimen
47689,274.98,167.81,0.608,49581,0.7323,862.37,Kecimen
86481,356.96,267.84,0.7212,89442,0.6836,1118.56,Kecimen
79612,350.57,297.64,0.7304,85968,0.7938,1216.12,Besni
88023,364.64,284.62,0.7597,90562,0.7185,1453.08,Besni
20703,289.47,206.61,0.6573,22189,0.7655,999.16,Kecimen
96948,306.96,199.32,0.669,99641,0.725,1166.9,Kecimen
87212,356.5,236.25,0.8223,89476,0.7024,1327.69,Besni
97228,418.39,280.74,0.7944,102348,0.7264,1411.08,Besni
57580,333.5,240.95,0.7539,62093,0.6946,1181.79,Kecimen
57114,368.05,272.08,0.6852,59135,0.6099,905.61,Kecimen
96349,481.04,234.39,0.7466,102838,0.6562,1200.97,Besni
49469,341.19,212.58,0.7309,52988,0.6782,1073.8,Kecimen
92523,449.57,285.62,0.844,98555,0.6547,1242.01,Besni
67699,296.92,220.81,0.7641,69325,0.6993,900.95,Kecimen
47617,353.36,270.33,0.6921,49797,0.7051,802.11,Kecimen
86336,406.0,297.8,0.7519,88949,0.7148,1246.78,Besni
135448,416.8,276.56,0.9178,143154,0.6954,1148.44,Besni
67179,470.08,260.96,0.7168,70912,0.6793,1344.31,Besni
92188,474.1,275.7,0.7933,95231,0.733,1457.05,Besni
80818,411.05,226.72,0.7505,84491,0.6738,1112.45,Besni
54118,221.13,189.95,0.744,55476,0.6956,677.0,Kecimen
53014,321.41,226.57,0.7548,55481,0.7073,1060.64,Kecimen
100004,475.84,278.93,0.7865,103576,0.6421,1156.64,Besni
55483,285.55,217.02,0.7282,58940,0.7046,878.76,Kecimen
58265,323.09,239.51,0.8408,60057,0.6726,1012.8,Kecimen
69425,344.83,286.32,0.6941,74600,0.7359,1263.79,Kecimen
88451,349.03,254.82,0.7578,91262,0.6924,1051.09,Kecimen
62280,461.41,206.55,0.7657,64507,0.6586,936.27,Besni
82615,384.04,266.34,0.7124,85506,0.7427,1178.48,Besni
121796,367.87,238.62,0.8536,129141,0.6996,1545.84,Besni
90376,449.3,280.7,0.8514,95188,0.5986,1110.78,Besni
56030,322.23,265.02,0.6907,57625,0.6614,1168.65,Kecimen
52336,430.64,239.35,0.7771,55605,0.8356,1568.27,Besni
99828,393.77,245.17,0.8352,103738,0.6635,1218.3,Besni
106603,315.68,307.48,0.798,115124,0.7044,1200.05,Besni
81803,314.97,207.16,0.8126,86686,0.7474,990.67,Kecimen
111227,321.55,238.08,0.8877,116553,0.6901,988.83,Besni
99503,443.58,278.2,0.7319,105948,0.6458,897.68,Besni
78214,358.58,274.69,0.8353,80569,0.6793,1284.81,Besni
52113,289.29,248.7,0.7018,56187,0.7686,1046.7,Kecimen
49384,390.19,287.57,0.8175,51533,0.7437,1186.7,Kecimen
28988,362.67,233.11,0.7104,29751,0.7988,994.1,Kecimen
57794,363.23,269.17,0.7913,60136,0.6713,906.15,Kecimen
89951,328.44,325.41,0.8146,91795,0.6663,1129.73,Besni
51565,311.16,228.37,0.7105,54442,0.6554,1178.88,Kecimen
82845,340.16,258.35,0.7655,87581,0.6243,998.19,Kecimen
107628,338.1,243.05,0.7356,112165,0.7105,1385.62,Besni
79003,268.78,199.36,0.7274,84382,0.6762,1442.36,Kecimen
125098,380.22,270.89,0.7931,128098,0.6895,978.19,Besni
50977,417.55,327.32,0.763,52148,0.6914,1187.51,Besni
110539,348.85,294.06,0.8037,116750,0.6984,1303.72,Besni
87471,335.3,245.15,0.7897,92251,0.6318,902.19,Kecimen
70293,306.29,239.16,0.7376,74906,0.768,882.1,Kecimen
84647,400.19,235.89,0.7801,91296,0.61,857.97,Besni
90368,441.22,193.86,0.6825,97539,0.6782,1210.3,Besni
